time,Label,Storm_id,lat,lon,speed_ms,speed_kt,heading_deg
2020-09-30 21:00:00,hurricane,Hurricane_Marie,13.2,-107.6,0.0,0.0,0.0
2020-10-01 00:00:00,hurricane,Hurricane_Marie,13.2,-107.6,0.0,0.0,0.0
2020-10-01 03:00:00,hurricane,Hurricane_Marie,13.2,-107.6,0.0,0.0,0.0
2020-10-01 06:00:00,hurricane,Hurricane_Marie,14.6,-117.4,98.9896890852954,192.4201172315606,279.53151616345076
2020-10-01 09:00:00,hurricane,Hurricane_Marie,14.85,-118.25,8.846739606312006,17.19664631633353,287.02252314940654
2020-10-01 12:00:00,hurricane,Hurricane_Marie,15.1,-119.1,8.837376743750497,17.178446409571965,287.0427758741626
2020-10-01 15:00:00,hurricane,Hurricane_Marie,15.0,-119.7,6.053796689756772,11.767612157416803,260.28597445181623
2020-10-01 18:00:00,hurricane,Hurricane_Marie,14.9,-120.3,6.0565466048821985,11.772957552434212,260.28995834351707
2020-10-01 21:00:00,hurricane,Hurricane_Marie,15.15,-120.9,6.497842215906144,12.630765612966998,293.4136847481568
2020-10-02 00:00:00,hurricane,Hurricane_Marie,15.4,-121.5,6.491374547834053,12.618193501061747,293.4395780725101
2020-10-02 03:00:00,hurricane,Hurricane_Marie,15.65,-122.1,6.484803944822386,12.605421300103547,293.4659168897686
2020-10-02 06:00:00,hurricane,Hurricane_Marie,15.9,-122.7,6.478130594816149,12.592449375427424,293.4927032569483
2020-10-02 09:00:00,hurricane,Hurricane_Marie,16.1,-123.25,5.819799694874063,11.312759438884,290.79681018819167
2020-10-02 12:00:00,hurricane,Hurricane_Marie,16.3,-123.8,5.814672997528507,11.302793959515812,290.8168433709252
2020-10-02 15:00:00,hurricane,Hurricane_Marie,16.45,-124.2,4.242367404398283,8.246483455365558,291.4045518462781
2020-10-02 18:00:00,hurricane,Hurricane_Marie,16.6,-124.6,4.239523865608238,8.240956070923916,291.4200749842993
2020-10-02 21:00:00,hurricane,Hurricane_Marie,16.9,-125.0,5.009217367725824,9.737117088080165,308.12665876882664
2020-10-04 00:00:00,hurricane,Hurricane_Delta,,,,,
2020-10-04 03:00:00,hurricane,Hurricane_Delta,,,,,
2020-10-04 06:00:00,hurricane,Hurricane_Delta,,,,,
